instances,feature_S3,feature_EDS,feature_EZR,feature_POT,feature_L1,feature_C4,feature_TD_P,algo_ada_boost,algo_bagging,algo_bayesian_ard,algo_decision_tree,algo_extra_tree,algo_gradient_boosting,algo_kernel_ridge,algo_mlp,algo_passive_aggressive,algo_random_forest,algo_sgd,algo_svr_epsilon,algo_svr_linear,algo_svr_nu
1,0.010635788479234631,0.06210512764661458,0.0025600645312033876,0,0.013481499175724054,0.6666666666666666,0.8333333333333334,0.048931557777610456,0.026279326863030913,0.034885755297433915,0.27252372877957687,0.005012825674637638,0.034849361849414257,0.9861116066337121,0.006487512302546491,0.10691173554075993,0.02068349017783375,0.1260979548826374,0.023980150260404242,0.011924988646721667,0.004758718256129423
2,0.003166667765013953,0.24681637258546218,0.030184599287261915,0,0.016773531658158647,1.0,0.8333333333333334,0.004951832509137628,0.0030688128966137192,0.005700986498334805,0.0024701943293501906,0.0065102114993180115,0.0014775390869471666,0.985038336727177,0.0019664486992680462,0.024420411425538892,0.0028899355802046813,0.12212784897296083,0.023164652896149388,0.02049075804324357,0.01713656215552568
3,0.00034137332518613395,0.16208309073561245,0.015553487154444379,0,0.06550198554494902,1.0,0.8333333333333334,0.0022660191626634545,0.004840941537511651,0.005350324057412996,0.005910148412484305,0.00425587363381057,0.005850387699385135,1.0444901240211637,0.008796800999926394,0.09406374233465933,0.0030394484477085947,0.12011451180734947,0.018477088717955205,0.006319818689893879,0.014941740827757989
4,0.008263749162765621,0.2870033660661404,0.03806908493638683,0,0.04542331686982992,1.0,0.8333333333333334,0.005934958523654588,0.00433458678133086,0.017853482233617754,0.002468770404935033,0.013254664125500385,0.02067783399459524,0.9901085606912535,0.005887870497516025,0.07368814157715245,0.003712178548042517,0.1257169063389333,0.024888360489285458,0.04368473255485523,0.05344566129157546
5,0.00127267843567469,0.19647840967024377,0.021158069832949655,0,0.05112819569237348,1.0,0.8333333333333334,0.004894522119524395,0.0018513780796313296,0.006505315381422358,0.0037476608088772853,0.0026205778592286047,0.007623514699534064,0.9837418142188284,0.014132188246724225,0.014647756386536814,0.0022539221366877074,0.10682762847758508,0.031280594846191986,0.009115351068622666,0.01227521215786665
6,0.048971314755382966,0.018202303144647214,3.3248552520070973e-06,0,0.17619821935654345,1.0,0.8333333333333334,0.01656853305644487,0.015950846949319288,0.028185661841265572,0.02222786371396766,0.019800403176303275,0.017274796162711763,0.9634400764147828,0.02170015673981401,0.059367668547675466,0.015423229520572913,0.09553192116105509,0.020303114574563765,0.020685944793571404,0.020341099280405107
7,0.031737114215824924,0.12710237188998796,0.010370993686934504,0,0.01493954372680184,1.0,0.8333333333333334,0.0024041087430267355,5.971836079249558e-05,0.001922688919190678,0.005795618170036449,0.0035491868393416805,0.003088609712838733,0.9847383846205938,6.685820178501543e-05,0.07924010304329016,0.003364419152676567,0.12028666801575079,0.03753021634089867,0.00281347157755905,0.02031387074413823
8,0.007851079043173836,0.2842908764226355,0.037517947516785166,0,0.06249471461031619,1.0,0.8333333333333334,0.008117307360463632,0.021317922212197256,0.009781236251756857,0.02222286134439446,0.01930570317564791,0.016069344646746718,0.9894301849617567,0.003583544214952931,0.007354958252889346,0.017218445402695296,0.1262216656538851,0.02667562252928663,0.027880567304771918,0.017899605132427374
9,0.19828992588915428,0.7203498353276041,0.17667380617450934,0,0.42639105086027373,1.0,1.0,0.13924086982932937,0.12185868932217606,0.08392211031000742,0.1444516780575537,0.07474167541888808,0.14707519941858072,1.0693984575923627,0.08379986092044428,0.18289603987999636,0.13221786882725167,0.18459150997399995,0.04594504333072517,0.10305455613040848,0.09471171960573106
10,0.09576084623831893,0.8185503304570456,0.3399590846996349,0,0.2621965186205307,1.0,0.6666666666666666,0.024552087135974808,0.017330033035197638,0.03801994978596703,0.01272948591103471,0.016533270874409946,0.02068770264863233,0.9544640106663017,0.024622925754907966,0.1585593187593042,0.018108613534505647,0.08439975602275358,0.03130453042784939,0.00780029855663287,0.005448631201640985
11,0.07900656104326853,0.25504593589406155,0.08832837044202169,0,0.24887802640594814,0.8888888888888888,0.8333333333333334,0.03683067294714258,0.057323259895000776,0.046262428841195705,0.041886926742930514,0.03632924312583257,0.02979311394455887,1.0406943712934764,0.053423524026571904,0.04716932073721291,0.04733320951744714,0.15064742749384352,0.026668136167005464,0.04786805687699973,0.059822608549938816
12,0.054763155701379795,0.7136324463456003,0.5076435139291182,0,0.3805584490223808,0.3333333333333333,0.6666666666666666,0.00042166613589737523,0.009324425381416923,0.05918026893122321,0.00042166613589737523,0.004924876987427053,0.006279229269505639,1.0529582017938521,0.06156155944563387,0.02498888106905356,0.010990503960975766,0.14800717245866998,0.020199921398402196,0.060050297271801674,0.036477421188226125
13,0.013765827256144614,0.5480056921258805,0.19029079028887463,0,0.20690831649966046,0.3333333333333333,0.8333333333333334,0.004118498782486623,0.02068135275993678,0.005444288969430146,0.01748982492767606,0.011526148801398768,0.037784517488969604,0.9647414796198347,0.023792214707894242,0.08976520995100759,0.010578242406653305,0.08506637997277204,0.04686608335627368,0.011199378889962384,0.0005692928433596656
14,0.019549237955277965,0.7189462097217945,0.5045580531178553,0,0.03538636878939938,1.0,0.6666666666666666,0.022637188229263566,0.0331780464380337,0.039292888338315964,0.0004188286290204428,0.0015265058314899887,0.013664750751016723,1.0085736361489135,0.02373482050651854,0.1192903440111977,0.025124471988188773,0.11079416357019119,0.06200375435011348,0.01728036005506392,0.02551840770012968
15,0.06746076423535496,0.6698019724970137,0.2460445838426749,0,0.3075473389692378,1.0,0.6666666666666666,0.024482793681296747,0.019259992402582166,0.009186010823137917,0.024397617377849696,0.006899516167929562,0.02812720600472961,1.0071751844446817,0.022595298593734565,0.08246977007731032,0.019451980906292993,0.11595233335117455,0.019788073451422885,0.007552564981580518,0.012505678532482849
16,0.05308817281085998,0.8475404365722357,0.36469212735842105,0,0.2951837234479977,1.0,0.6666666666666666,0.03151096477779751,0.028606258888092134,0.04002367300583105,0.025374265100859234,0.005318469967078126,0.051143273596050275,1.0106158755787475,0.04122806322377931,0.030481089417734662,0.03472837921107009,0.08073735040293223,0.0682309429567337,0.04010696137642494,0.047210046153357436
17,0.2830763580627951,0.8596877436277368,0.3761234983651326,0,0.10875544917186386,0.3333333333333333,0.6666666666666666,0.04292912676224598,0.039262860140363454,0.013221431741688515,0.08305691715328296,0.022431084377370056,0.046462741475778106,0.9650633308393225,0.019911448107750307,0.057161708898314074,0.04153323623517582,0.09044875515071876,0.00020888856326781074,0.03534133496300712,0.029310095410448142
18,0.055389509153670025,0.6987559073142559,0.26141962287762865,0,0.3067767787778981,0.3333333333333333,0.6666666666666666,0.027746846227511567,0.026247717915147854,0.05186637711630125,0.026542254894036867,0.003969585826891396,0.03292657608867265,0.9405591832843535,0.044588552182208266,0.04159589639930102,0.030034082912008597,0.07566483417780318,0.010343484855566324,0.03356488863463213,0.035361147366991516
19,0.995413313643403,0.995253105129378,0.9963847503382194,1,0.016652842641437404,1.0,0.5,0.15788354386141978,0.1508371070509399,0.011737915842079553,0.15788354386141978,0.143804396464234,0.14488619690878393,1.0454969109176981,0.007809895420204284,0.010986426520109968,0.14391187741936343,0.061246759941053726,0.13190274418987116,0.0049101417893907436,0.21776593809726338
20,0.6189111289047112,0.2602137697834058,0.6988357036445855,0,0.28607820979107446,1.0,0.6666666666666666,0.02869178639109773,0.016293010108986653,0.02254163327527587,0.028970781721536398,0.032792186285392766,0.0024895019569739513,0.9539757909201203,0.030309822762783562,0.02419676197381744,0.013089169989129104,0.07020645511834143,0.05364940752762734,0.018064921404861652,0.07817222861629515
