,Duration,Number of Lanes,Number of Vehicles,Vehicles Density,Reward Speed Range,Scaling Factor,Algorithm,Average Reward,Reward Standard Deviation,Observation Variance,Action Variance,Number of Transitions Observed,Crash Rate,Average Collision Reward,Average Right Lane Reward,Average High Speed Reward,Average On Road Reward,Average Episode Length,Reward Sparsity,Transition Rewards Variance,Observation Type,Maximum Range (Lidar),Horizon (TimeToCollision),Initial Lane Id,Ego Spacing
0,60,4,50,1.0,"[20, 30]",5.5,PPO,0.7547291471570525,0.0758836947950651,6.111605742054865,0.005758335135750589,5416,0.0029542097488921715,0.0029542097488921715,0.8471811915312654,0.12582452832836108,1.0,60,1.0,0.005758335135750589,Kinematics,,,,2.0
1,40,4,40,1.0,"[20, 30]",5.5,PPO,0.7650531451860653,0.08900399384628874,9.31359402569535,0.007921710920590203,3637,0.00384932636788562,0.00384932636788562,0.8265970121895335,0.17192335732007555,1.0,40,0.9991751443497388,0.007921710920590203,Kinematics,,,,2.0
2,38,4,50,1.0,"[20, 30]",5.5,PPO,0.760915982116571,0.08689855716153704,7.936456737086626,0.00755135923675692,3627,0.0033085194375516956,0.0033085194375516956,0.8274055693410532,0.15485483919575727,1.0,38,1.0,0.00755135923675692,Kinematics,,,,2.0
3,40,4,25,1.0,"[20, 30]",5.5,PPO,0.7668732903885994,0.09444544019626251,10.303575139181802,0.0089199411738658,3727,0.00348806010195868,0.00348806010195868,0.752973794830516,0.1962515405045155,1.0,40,0.9997316876844647,0.0089199411738658,Kinematics,,,,2.0
4,45,4,50,1.0,"[20, 30]",5.5,PPO,0.7626610154674323,0.0916169882863027,9.970944684728522,0.008393672542652527,4278,0.002805049088359046,0.002805049088359046,0.728923172822191,0.18476063751822058,1.0,45,0.9990649836372136,0.008393672542652527,Kinematics,,,,2.0
5,40,4,30,1.0,"[20, 30]",5.5,PPO,0.7503774802933108,0.08310530371840986,7.675548237593352,0.006906491506129149,3814,0.0023597273203985318,0.0023597273203985318,0.7050340849501835,0.1435563481633658,1.0,40,0.9994756161510225,0.006906491506129149,Kinematics,,,,2.0
6,53,4,50,1.0,"[20, 30]",5.5,PPO,0.758999607372499,0.07545635016357473,7.161883068889179,0.005693660780008004,5045,0.0015857284440039642,0.0015857284440039642,0.8402378592666006,0.14015338394023144,1.0,53,0.999603567888999,0.005693660780008004,Kinematics,,,,2.0
7,40,4,35,1.0,"[20, 30]",5.5,PPO,0.7667522383364246,0.08082438680314802,8.266294808919866,0.006532581502104887,3795,0.0023715415019762848,0.0023715415019762848,0.8382081686429512,0.1716977053557948,1.0,40,0.9992094861660079,0.006532581502104887,Kinematics,,,,2.0
8,40,4,50,1.0,"[20, 30]",5.5,A2C,0.7871082072004073,0.1422385262293568,9.616851157300461,0.02023179834389942,2175,0.029425287356321838,0.029425287356321838,0.9883524904214561,0.27813087278696774,1.0,40,1.0,0.02023179834389942,Kinematics,,,,2.0
9,60,8,30,1.5,"[40, 50]",5.5,DQN,0.6970542132857684,0.04397320066420756,0.924905594378463,0.001933642376654664,5286,0.0026485054861899358,0.0026485054861899358,0.48229825414842437,0.0,1.0,60,0.9996216420734014,0.001933642376654664,Kinematics,,,,2.0
