,Number of Lanes,Number of Vehicles,Vehicles Density,Reward Speed Range,Scaling Factor,Algorithm,Average Reward,Reward Standard Deviation,Observation Variance,Action Variance,Number of Transitions Observed,Crash Rate,Average Collision Reward,Average Right Lane Reward,Average High Speed Reward,Average On Road Reward,Average Episode Length,Reward Sparsity,Transition Rewards Variance,Observation Type,Maximum Range (Lidar),Horizon (TimeToCollision),Initial Lane Id,Ego Spacing
0,4,50,1.0,0,5.5,2,0.7547291471570525,0.0758836947950651,6.111605742054865,0.0057583351357505,5416,0.0029542097488921,0.0029542097488921,0.8471811915312654,0.125824528328361,1.0,60,1.0,0.0057583351357505,0,0,0,3,2.0
1,4,40,1.0,0,5.5,2,0.7650531451860653,0.0890039938462887,9.31359402569535,0.0079217109205902,3637,0.0038493263678856,0.0038493263678856,0.8265970121895335,0.1719233573200755,1.0,40,0.9991751443497388,0.0079217109205902,0,0,0,3,2.0
2,4,50,1.0,0,5.5,2,0.760915982116571,0.086898557161537,7.936456737086626,0.0075513592367569,3627,0.0033085194375516,0.0033085194375516,0.8274055693410532,0.1548548391957572,1.0,38,1.0,0.0075513592367569,0,0,0,3,2.0
3,4,25,1.0,0,5.5,2,0.7668732903885994,0.0944454401962625,10.303575139181802,0.0089199411738658,3727,0.0034880601019586,0.0034880601019586,0.752973794830516,0.1962515405045155,1.0,40,0.9997316876844649,0.0089199411738658,0,0,0,3,2.0
4,4,50,1.0,0,5.5,2,0.7626610154674323,0.0916169882863027,9.970944684728522,0.0083936725426525,4278,0.002805049088359,0.002805049088359,0.728923172822191,0.1847606375182205,1.0,45,0.9990649836372136,0.0083936725426525,0,0,0,3,2.0
5,4,30,1.0,0,5.5,2,0.7503774802933108,0.0831053037184098,7.675548237593352,0.0069064915061291,3814,0.0023597273203985,0.0023597273203985,0.7050340849501835,0.1435563481633658,1.0,40,0.9994756161510224,0.0069064915061291,0,0,0,3,2.0
6,4,50,1.0,0,5.5,2,0.758999607372499,0.0754563501635747,7.161883068889179,0.005693660780008,5045,0.0015857284440039,0.0015857284440039,0.8402378592666006,0.1401533839402314,1.0,53,0.999603567888999,0.005693660780008,0,0,0,3,2.0
7,4,35,1.0,0,5.5,2,0.7667522383364246,0.080824386803148,8.266294808919866,0.0065325815021048,3795,0.0023715415019762,0.0023715415019762,0.8382081686429512,0.1716977053557948,1.0,40,0.999209486166008,0.0065325815021048,0,0,0,3,2.0
8,4,50,1.0,0,5.5,0,0.7871082072004073,0.1422385262293568,9.61685115730046,0.0202317983438994,2175,0.0294252873563218,0.0294252873563218,0.988352490421456,0.2781308727869677,1.0,40,1.0,0.0202317983438994,0,0,0,3,2.0
9,8,30,1.5,2,5.5,1,0.6970542132857684,0.0439732006642075,0.924905594378463,0.0019336423766546,5286,0.0026485054861899,0.0026485054861899,0.4822982541484243,0.0,1.0,60,0.9996216420734014,0.0019336423766546,0,0,0,3,2.0
10,7,25,1.5,3,5.5,0,0.7252998154981551,0.0594429605592594,0.7490415772585192,0.0035334655600496,4336,0.007610701107011,0.007610701107011,0.9556042435424354,0.0,1.0,60,1.0,0.0035334655600496,0,0,0,3,0.5
11,5,30,3.0,3,5.5,1,0.6806939648084198,0.1292290345889847,3.63451677957936,0.016700143380801,2027,0.0370004933399112,0.0370004933399112,0.580414405525407,0.0,1.0,60,0.9960532807104094,0.016700143380801,0,0,0,3,0.5
12,8,40,1.5,1,5.5,1,0.7124125618286651,0.0718921564978379,2.5864369213194656,0.0051684821659096,3254,0.0107559926244622,0.0107559926244622,0.7937483536745984,0.0,1.0,45,0.9993853718500308,0.0051684821659096,0,0,0,3,2.5
